,Month,ID,Acousticness,Danceability,Duration Ms,Energy,Instrumentalness,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
150,1,0fea68AdmYNygeTGI4RC18,0.152,0.754,242573,0.646,1.85E-05,0.108,-5.795,1,0.317,176.089,4,0.429
151,1,4Yxc55NX3tAXC2mHRAhtcW,0.0902,0.376,177323,0.43,0,0.0912,-6.585,0,0.0328,77.599,3,0.129
152,1,4jAIqgrPjKLTY9Gbez25Qb,0.0392,0.575,172213,0.621,0.0045,0.141,-8.165,0,0.032,101.987,4,0.27
153,1,1DWZUa5Mzf2BwzpHtgbHPY,0.853,0.794,342040,0.32,0.134,0.112,-12.92,0,0.173,174.088,4,0.241
154,1,24Yi9hE78yPEbZ4kxyoXAI,0.0167,0.77,176840,0.724,0.0107,0.353,-5.484,1,0.0495,121.975,4,0.898
155,1,0hVXuCcriWRGvwMV1r5Yn9,0.0902,0.798,219947,0.676,0,0.0894,-5.041,1,0.0442,101.956,4,0.843
156,1,6cZH4rX1KTt1aJ3Ql6Ynja,0.473,0.644,161765,0.587,0,0.0759,-6.736,0,0.353,173.972,4,0.68
157,1,4yJiXq86uM56uIfIZgE440,0.0638,0.755,200400,0.631,0,0.0929,-6.128,1,0.0261,100.026,4,0.881
158,1,0rFQ5cKYJ9WtHSKp9sxVYt,0.275,0.764,169227,0.555,0,0.0824,-6.414,1,0.0604,111.004,4,0.255
159,1,7dt6x5M1jzdTEt8oCbisTK,0.331,0.68,231267,0.578,0,0.135,-5.804,1,0.04,145.038,4,0.341
160,1,2uIX8YMNjGMD7441kqyyNU,0.819,0.475,200560,0.37,0.0577,0.0841,-7.725,0,0.0361,144.828,4,0.157
161,1,3GJ4hzg4lrGwU51Y3VARbF,0.356,0.616,213387,0.438,0,0.24,-5.968,1,0.0298,135.929,4,0.386
162,1,2Hc4t9N2nt37oO4sF9BynI,0.0951,0.561,209229,0.536,0,0.114,-6.227,1,0.0346,150.01,4,0.378
163,1,7MZF7YLxOP2to9iblSulLc,0.144,0.702,252337,0.508,0,0.108,-7.105,1,0.035,82.008,4,0.143
164,1,6fWa5CRgy0z30OeGZyMBvD,0.0513,0.733,159670,0.389,0,0.141,-8.468,0,0.0738,157.878,3,0.244
165,1,1Knctxx9vGZxpZfF66BIEa,0.115,0.594,191840,0.798,0,0.143,-5.244,1,0.0844,142.049,4,0.381
166,1,70eFcWOvlMObDhURTqT4Fv,0.124,0.64,197867,0.647,0,0.0801,-8.114,0,0.186,92.979,4,0.546
167,1,7f5trao56t7sB7f14QDTmp,0.102,0.786,203093,0.652,0,0.0697,-2.607,1,0.0669,170.031,4,0.483
168,1,4nK5YrxbMGZstTLbvj6Gxw,0.305,0.863,223480,0.631,3.04E-05,0.123,-4.689,1,0.0534,128.977,4,0.817
169,1,6gBFPUFcJLzWGx4lenP6h2,0.0847,0.841,243837,0.728,0,0.149,-3.37,1,0.0484,130.049,4,0.43
170,1,6ocbgoVGwYJhOv1GgI9NsF,0.592,0.778,178627,0.317,0,0.0881,-10.732,0,0.334,140.048,4,0.327
171,1,5wujBwqG7INdStqGd4tRMX,0.186,0.736,169999,0.67,0,0.114,-6.702,1,0.311,130.032,4,0.845
172,1,6FZDfxM3a3UCqtzo5pxSLZ,0.297,0.752,201661,0.488,9.11E-06,0.0936,-7.05,1,0.0705,136.041,4,0.533
173,1,4ea9w8c4ROqiZpJVhfBA3m,0.188,0.845,279907,0.631,0,0.0806,-8.206,0,0.216,111.983,4,0.545
